DATE,BULAN,TAHUN,TINGGI HILAL MINIMUM,ELONGASI GEOSENTRIK MINIMUM,ELONGASI TOPOSENTRIK MINIMUM,BEDA AZIMUT MINIMUM,TINGGI HILAL MAKSIMUM,ELONGASI GEOSENTRIK MAKSIMUM,ELONGASI TOPOSENTRIK MAKSIMUM,BEDA AZIMUT MAKSIMUM,MABIMS NOT VISIBLE,MABIMS VISIBLE,ODEH NOT VISIBLE,ODEH VISIBLE OPTIC,ODEH VISIBLE NAKED EYE,KATSNER NOT VISIBLE,KATSNER VISIBLE OPTIC,KATSNER VISIBLE NAKED EYE
2007-8-12,8,1428,2.99595452839679,4.80006169835468,3.87523421741195,-1.96153041000247,4.59286130726538,6.48120458519681,5.60098872349003,0.595402794733559,0.95,0.05,1,0,0,0,1,0
2007-9-10,9,1428,-3.90607910992346,1.09018219451959,1.82005095717679,-0.873099510655095,-2.43046969384121,2.18091555512129,3.08252220847997,0.257716486918525,1,0,1,0,0,1,0,0
2007-10-10,10,1428,-2.13519982546012,3.80049918517315,3.72112293548241,-4.58280809695259,0.607427699871723,4.70470826407505,4.5830735611642,-3.72140217998782,1,0,1,0,0,1,0,0
2007-11-9,11,1428,0.11364879903012,6.39731387581109,6.01142504628341,-6.7281665320034,3.70873176873982,7.56996479365978,7.0983072949774,-5.15318133683047,0.88,0.12,1,0,0,0.42,0.58,0
2007-12-8,12,1428,-7.0277157882309,5.51706439950198,5.88984099186459,-5.41571750958585,-3.6460306335485,6.53466222184102,7.27850218725163,-3.83266334172438,1,0,1,0,0,1,0,0
2008-1-7,1,1429,-3.23456833813945,3.35350223047013,3.06649620552509,-3.68417454156432,-0.293666219465779,3.77966376626093,4.2249628869677,-3.01879820766141,1,0,1,0,0,1,0,0
2008-2-6,2,1429,0.824835157379242,2.61690278664662,1.66759467880133,-0.177370212773411,2.41008714645087,4.38056618219861,3.53252173712205,1.79794773601714,1,0,1,0,0,0.16,0.84,0
2008-3-7,3,1429,3.68752054783484,8.85196771363668,8.04824778072509,4.81366649255494,7.27052330936748,10.6485054977074,10.0473583881924,8.16641467372693,0,1,0.07,0.9,0.03,0,1,0
2008-4-5,4,1429,-1.96087749502211,4.86826867057898,4.69982298497247,4.66745114368791,1.46861090727001,6.21200722616815,6.0057765052132,5.99708880760511,1,0,1,0,0,1,0,0
2008-5-5,5,1429,6.08160635472132,12.9028450907762,12.273637749419,6.95856170529208,11.1805848584567,14.8860865168599,14.0395097783681,11.1474328455813,0,1,0,0,1,0,0.53,0.47
2008-6-3,6,1429,3.91599063028631,8.8009416636875,8.16428334788406,4.06417423358477,8.10880704721253,10.7417350515185,9.81725332330282,7.21392516782942,0,1,0.03,0.77,0.2,0,1,0
2008-7-2,7,1429,1.24394914336918,4.53093632377128,3.85978987102647,1.35518833803326,4.29601864167944,6.28158686583792,5.30504868895961,3.41524417277566,1,0,1,0,0,0.03,0.97,0
2008-8-1,8,1429,9.50237166251506,12.2834567759778,11.3234419446555,-6.26803495135596,12.1721803218591,14.2547382079851,13.3995305436911,-1.12361801193839,0,1,0,0,1,0,0,1
2008-8-30,9,1429,2.87684218241288,6.96192411343368,6.14994159367216,-6.24755404195406,5.87961340393798,8.68709998753118,8.05351664905393,-3.44274147018297,0.01,0.99,0.63,0.37,0,0,1,0
2008-9-28,10,1429,-3.62855619591745,3.86660283247181,4.0914678744154,-4.31383848172141,-0.856257291562847,4.32235370631569,4.52023769461789,-3.39092690376583,1,0,1,0,0,1,0,0
2008-10-28,11,1429,-0.164208845299105,6.53158738420494,6.15988218682865,-7.01179371444644,3.49898942158234,7.70654903732002,7.29370587549669,-5.46592330558639,0.93,0.07,1,0,0,0.52,0.48,0
2008-11-26,12,1429,-6.92055916406023,5.20246458148155,5.61164600034325,-4.93214426759872,-3.74856254197467,6.17626732643966,6.94365750592,-3.34987023987355,1,0,1,0,0,1,0,0
2008-12-26,1,1430,-3.74752710542306,2.87452341190975,2.79315986980391,-3.30050331457764,-1.02171092835808,3.49909036563644,4.08024462803201,-2.78716457462528,1,0,1,0,0,1,0,0
2009-1-25,2,1430,-1.38191558225192,0.399967138422976,0.0270816329445684,-0.178312396145287,0.0939551580599322,2.00435948187605,1.25206957323122,0.875204690335352,1,0,1,0,0,1,0,0
2009-2-25,3,1430,-0.330113527666187,4.39894029432811,3.90936270882386,3.50646290122461,2.36427576795566,5.86092928238402,5.50328205094275,5.22925318872234,1,0,1,0,0,0.79,0.21,0
2009-3-27,4,1430,2.49384409734931,9.8021202292627,9.18262148457137,6.96497072013756,6.74776884335211,11.3571508463225,10.8871552176127,9.85006945534065,0.06,0.94,0.28,0.71,0.01,0,1,0
2009-4-25,5,1430,-2.09571658156526,5.70268893599127,5.55809015773456,5.49801852711318,1.71131904540961,6.8377350201823,6.61514269190524,6.6111232033536,1,0,1,0,0,1,0,0
2009-5-25,6,1430,7.34960220104677,12.1641881916952,11.431969792797,4.27631328673687,11.717926696197,14.1877955578755,13.2507003617295,8.64969712344907,0,1,0,0,1,0,0.22,0.78
2009-6-23,7,1430,5.11270662203556,7.73731920579607,6.83974612938111,0.141411569490117,8.02857555692089,9.87123129312467,8.86299741138687,3.60690450520053,0,1,0,0.76,0.24,0,1,0
2009-7-22,8,1430,1.55358612899086,3.46115144086398,2.4462856458429,-2.37561541126206,3.50873607833719,5.64344901466264,4.74018339969569,-0.248710100147719,1,0,1,0,0,0,1,0
2009-8-21,9,1430,8.14181817436609,13.4222076536179,12.5268529176125,-10.269096653847,12.2894857037358,15.3825965941704,14.6659894645703,-5.36571116861387,0,1,0,0,1,0,0.16,0.84
2009-9-19,10,1430,2.41975046507668,8.93313820417346,8.24365824403193,-8.85237461057727,6.45325766541701,10.5286035214526,10.0327570271735,-6.08139481269922,0.07,0.93,0.39,0.61,0,0,1,0
2009-10-18,11,1430,-2.91088920444213,5.20408239861527,5.19057484125116,-5.87947462657456,0.60613076938093,5.95329199747544,5.90820432370709,-5.08379536458301,1,0,1,0,0,1,0,0
2009-11-17,12,1430,2.76057432225912,7.51159882520567,6.92193009433819,-6.47888171031008,6.33797938493536,9.02780073285456,8.23585803539135,-4.00626909916809,0.02,0.98,0.49,0.51,0,0,1,0
2009-12-16,1,1431,-3.87599879662771,2.339194582935,2.3343448465899,-2.71278383560517,-1.27500825667079,3.04108058639263,3.73618543900025,-2.17028314088671,1,0,1,0,0,1,0,0
2010-1-15,2,1431,-1.13615317198609,0.752904138789971,0.505251719810502,0.459508708691658,0.29758440064394,2.36434314762914,1.74799657081165,1.46103065683442,1,0,1,0,0,1,0,0
2010-2-14,3,1431,-1.06751617095005,4.11921551372,3.79390893920235,3.66301165745034,1.53584053300748,5.34795499328942,5.11126819371124,5.02732290598914,1,0,1,0,0,1,0,0
2010-3-16,4,1431,-0.0729704373852647,7.26698145547867,6.82841853153505,6.15632646250879,3.54174355028904,8.4879899054489,8.22564350583763,7.99194992727377,0.93,0.07,1,0,0,0.51,0.49,0
2010-4-14,5,1431,-6.13060401116379,4.95628861399554,5.31071490858337,3.06517694822992,-3.26463650079335,5.34077019995682,6.11680678112861,4.72485014806466,1,0,1,0,0,1,0,0
2010-5-14,6,1431,-0.127136713157449,5.22916570731371,4.81821825889008,4.10145546133725,3.36541761117837,6.63971909215569,6.04154326795925,5.61030552981168,0.97,0.03,1,0,0,0.51,0.49,0
